query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
6,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,1,1,1000,0.0022
7,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1,1,1000,0.5000
9,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0048,2,2,1000,0.0032
17,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,1,1,1000,0.0068
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,1000,0.0000
32,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,1,1,1000,0.2000
35,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1000,1.0000
46,0.0000,0.0100,0.0010,0.0000,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,1,1,1000,0.0625
49,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1,1,1000,0.5000
51,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1,1,1000,0.2500
