query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
6,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,1,1,1000,0.0079
7,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,1000,0.3333
9,0.0000,0.0200,0.0020,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0224,2,2,1000,0.0167
17,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,1,1,1000,0.2000
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,1000,0.0000
32,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1,1,1000,0.2500
35,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1000,1.0000
46,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,1,1,1000,0.0169
49,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,1000,0.3333
51,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1,1,1000,0.5000
52,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0115,4,4,1000,0.0047
54,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,1,1,1000,0.0016
59,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,1,1,1000,0.0068
60,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1000,1.0000
64,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1,1,1000,0.2500
65,0.0000,0.0200,0.0020,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0433,2,2,1000,0.0294
67,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,1,1,1000,0.0038
69,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1000,1.0000
75,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1,1,1000,0.2500
78,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,1,1,1000,0.0400
80,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,1,1,1000,0.0078
83,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1,1,1000,0.5000
84,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,1,1,1000,0.0087
85,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1,1,1000,0.2500
86,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,1,1,1000,0.0011
89,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,0.0000,0.0000,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,1000,0.3333
92,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,1,1,1000,0.0333
93,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,1,1,1000,0.0213
94,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,1,1,1000,0.0055
95,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,1,1,1000,0.0217
98,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,1,1,1000,0.0072
106,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,1,1,1000,0.0476
108,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.2000,0.0020,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1000,1.0000
109,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,1,1,1000,0.0238
110,0.0000,0.0200,0.0020,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0201,2,2,1000,0.0135
112,0.0000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,1,1,1000,0.0714
113,0.1000,0.0100,0.0010,0.0667,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,1,1,1000,0.1000
