query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.1000,0.0500,0.0050,0.1333,0.1000,0.0250,0.1000,0.2000,0.0100,0.1667,0.1111,0.3333,0.3333,0.1429,0.1429,0.1429,0.1429,0.1000,0.0926,0.0926,0.0000,0.0000,0.1337,6,5,1000,0.3333
5,0.4000,0.1300,0.0160,0.2667,0.3000,0.0750,0.2333,0.4000,0.0320,0.2222,0.1797,1.0000,0.4000,0.3158,0.1833,0.1833,0.1228,0.0000,0.0000,0.0000,0.0000,0.0000,0.1822,27,16,1000,1.0000
8,0.0000,0.0700,0.0130,0.0000,0.0000,0.0450,0.0000,0.0000,0.0240,0.0000,0.0000,0.0976,0.0976,0.0976,0.0875,0.0875,0.0496,0.0496,0.0496,0.0496,0.0000,0.0000,0.0493,15,13,1000,0.0312
10,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0417,0.0417,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,5,1,1000,0.0417
12,0.0000,0.0200,0.0160,0.0000,0.0000,0.0400,0.0000,0.0000,0.0220,0.0000,0.0000,0.0482,0.0482,0.0482,0.0228,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,33,16,1000,0.0123
15,0.2000,0.1300,0.0130,0.1333,0.1000,0.0650,0.1667,0.4000,0.0260,0.1176,0.1142,1.0000,0.6667,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.0000,0.0000,0.0000,0.2128,17,13,1000,1.0000
19,0.2000,0.0800,0.0170,0.2000,0.2000,0.0500,0.1667,0.4000,0.0260,0.1500,0.1256,1.0000,0.2105,0.1429,0.0279,0.0249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0839,40,17,1000,1.0000
21,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,0.0081,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,21,6,1000,0.0016
24,0.0000,0.0200,0.0060,0.0000,0.0000,0.0100,0.0000,0.0000,0.0120,0.0000,0.0000,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0000,0.0000,0.0167,7,6,1000,0.0167
30,0.1000,0.0800,0.0360,0.0667,0.1500,0.0600,0.1000,0.0000,0.0560,0.0784,0.0542,0.1667,0.0889,0.0703,0.0703,0.0665,0.0579,0.0526,0.0447,0.0000,0.0000,0.0000,0.0491,51,36,1000,0.1667
31,0.0000,0.0100,0.0040,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0128,0.0128,0.0120,0.0046,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,10,4,1000,0.0128
33,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,1,1,1000,0.0417
36,0.0000,0.0200,0.0070,0.0000,0.0000,0.0100,0.0000,0.0000,0.0120,0.0000,0.0000,0.0444,0.0444,0.0144,0.0142,0.0142,0.0142,0.0136,0.0000,0.0000,0.0000,0.0000,0.0125,11,7,1000,0.0278
37,0.1000,0.0100,0.0040,0.0667,0.0500,0.0050,0.0333,0.2000,0.0040,0.1429,0.1429,1.0000,1.0000,0.0059,0.0043,0.0043,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.1448,7,4,1000,1.0000
40,0.0000,0.0000,0.0020,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0074,0.0074,0.0074,0.0024,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,5,2,1000,0.0074
41,0.0000,0.0400,0.0100,0.0000,0.0500,0.0400,0.0333,0.0000,0.0200,0.0000,0.0000,0.0556,0.0556,0.0541,0.0541,0.0541,0.0541,0.0510,0.0280,0.0243,0.0000,0.0000,0.0378,12,10,1000,0.0526
45,0.0000,0.0300,0.0040,0.0000,0.0500,0.0200,0.0333,0.0000,0.0080,0.0000,0.0000,0.0588,0.0588,0.0588,0.0541,0.0541,0.0455,0.0455,0.0310,0.0310,0.0000,0.0000,0.0379,5,4,1000,0.0588
47,0.0000,0.0500,0.0070,0.0000,0.0000,0.0300,0.0000,0.0000,0.0140,0.0000,0.0000,0.0602,0.0602,0.0602,0.0602,0.0602,0.0602,0.0441,0.0182,0.0000,0.0000,0.0000,0.0276,10,7,1000,0.0200
48,0.0000,0.0600,0.0330,0.0667,0.0500,0.0600,0.1000,0.0000,0.0480,0.0581,0.0393,0.1034,0.0680,0.0598,0.0512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0230,86,33,1000,0.0909
50,0.0000,0.0300,0.0060,0.0000,0.0000,0.0200,0.0333,0.0000,0.0120,0.0000,0.0000,0.0541,0.0541,0.0541,0.0400,0.0221,0.0221,0.0221,0.0000,0.0000,0.0000,0.0000,0.0224,9,6,1000,0.0435
53,0.0000,0.0600,0.0110,0.0000,0.0500,0.0450,0.0333,0.0000,0.0220,0.0000,0.0000,0.0806,0.0806,0.0806,0.0806,0.0636,0.0571,0.0344,0.0000,0.0000,0.0000,0.0000,0.0380,16,11,1000,0.0500
57,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0043,0.0043,0.0043,0.0043,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,5,2,1000,0.0022
58,0.3000,0.0600,0.0190,0.2000,0.1500,0.0400,0.1000,0.4000,0.0240,0.0882,0.0900,0.6667,0.0755,0.0660,0.0362,0.0249,0.0224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0674,34,19,1000,0.5000
63,0.0000,0.0300,0.0070,0.0667,0.0500,0.0200,0.0333,0.0000,0.0140,0.0769,0.0178,0.0909,0.0909,0.0909,0.0370,0.0177,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,13,7,1000,0.0909
66,0.0000,0.0100,0.0080,0.0000,0.0000,0.0150,0.0000,0.0000,0.0120,0.0000,0.0000,0.0194,0.0194,0.0160,0.0152,0.0138,0.0128,0.0098,0.0000,0.0000,0.0000,0.0000,0.0090,12,8,1000,0.0127
73,0.0000,0.0200,0.0090,0.0667,0.0500,0.0150,0.0333,0.0000,0.0120,0.0500,0.0150,0.0667,0.0294,0.0135,0.0135,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,20,9,1000,0.0667
74,0.3000,0.1300,0.0130,0.2667,0.2500,0.0650,0.2333,0.4000,0.0260,0.2632,0.1773,1.0000,0.4000,0.3333,0.2400,0.1803,0.1803,0.1688,0.0000,0.0000,0.0000,0.0000,0.2010,19,13,1000,1.0000
79,0.0000,0.0100,0.0060,0.0000,0.0000,0.0050,0.0000,0.0000,0.0040,0.0000,0.0000,0.0118,0.0075,0.0061,0.0061,0.0061,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,11,6,1000,0.0118
81,0.2000,0.0800,0.0110,0.3333,0.3000,0.0500,0.2000,0.2000,0.0200,0.3333,0.1956,0.5000,0.3571,0.3571,0.3571,0.3529,0.1311,0.0826,0.0203,0.0000,0.0000,0.0000,0.1656,15,11,1000,0.5000
87,0.2000,0.0400,0.0040,0.2667,0.2000,0.0200,0.1333,0.4000,0.0080,0.2500,0.1250,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.2667,0.2667,0.2667,0.2667,0.2667,0.2827,4,4,1000,0.2500
96,0.0000,0.0200,0.0120,0.0000,0.0000,0.0100,0.0333,0.0000,0.0140,0.0000,0.0000,0.0435,0.0308,0.0164,0.0164,0.0164,0.0122,0.0122,0.0122,0.0122,0.0000,0.0000,0.0129,15,12,1000,0.0435
97,0.3000,0.0600,0.0080,0.2667,0.2000,0.0400,0.1667,0.4000,0.0160,0.3333,0.2469,0.6667,0.6667,0.6667,0.3750,0.2667,0.2381,0.1935,0.0660,0.0476,0.0000,0.0000,0.2615,9,8,1000,0.5000
99,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,29,2,1000,0.0018
101,0.2000,0.1000,0.0180,0.2667,0.2500,0.0650,0.2667,0.2000,0.0320,0.3077,0.1716,1.0000,0.3077,0.3077,0.3077,0.1048,0.0691,0.0410,0.0000,0.0000,0.0000,0.0000,0.1420,26,18,1000,1.0000
102,0.0000,0.0200,0.0060,0.1333,0.1000,0.0150,0.0667,0.0000,0.0120,0.0000,0.0000,0.1429,0.1429,0.1429,0.0267,0.0267,0.0267,0.0267,0.0267,0.0000,0.0000,0.0000,0.0385,8,6,1000,0.0769
103,0.1000,0.0600,0.0140,0.0667,0.0500,0.0400,0.0333,0.2000,0.0180,0.0526,0.0499,0.5000,0.0659,0.0659,0.0659,0.0455,0.0181,0.0168,0.0156,0.0000,0.0000,0.0000,0.0534,19,14,1000,0.5000
104,0.0000,0.0300,0.0190,0.0000,0.0000,0.0250,0.0000,0.0000,0.0260,0.0118,0.0296,0.0347,0.0347,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,85,19,1000,0.0312
107,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,0.0046,0.0046,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,11,4,1000,0.0017
111,0.0000,0.0500,0.0180,0.0000,0.0000,0.0250,0.0000,0.0000,0.0220,0.0000,0.0000,0.0510,0.0510,0.0312,0.0280,0.0250,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,31,18,1000,0.0130
115,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.0043,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,20,4,1000,0.0017
121,0.0000,0.0900,0.0090,0.0667,0.0500,0.0450,0.0667,0.0000,0.0180,0.0000,0.0000,0.1163,0.1163,0.1163,0.1163,0.1163,0.1159,0.1159,0.1159,0.1023,0.0000,0.0000,0.0780,11,9,1000,0.0667
125,0.0000,0.0100,0.0020,0.0667,0.0500,0.0050,0.0333,0.0000,0.0040,0.0000,0.0000,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0049,0.0049,0.0049,0.0049,0.0049,0.0381,2,2,1000,0.0714
127,0.1000,0.0200,0.0080,0.0667,0.0500,0.0100,0.0333,0.0000,0.0120,0.0909,0.0248,0.1111,0.0312,0.0171,0.0171,0.0171,0.0171,0.0136,0.0088,0.0000,0.0000,0.0000,0.0206,11,8,1000,0.1111
