query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.0000,0.0200,0.0050,0.0000,0.0000,0.0100,0.0000,0.0000,0.0060,0.0000,0.0000,0.0270,0.0270,0.0260,0.0260,0.0145,0.0145,0.0070,0.0069,0.0069,0.0000,0.0000,0.0136,6,5,1000,0.0270
5,0.0000,0.0200,0.0070,0.0000,0.0000,0.0150,0.0000,0.0000,0.0080,0.0000,0.0219,0.0357,0.0224,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0044,27,7,1000,0.0200
8,0.0000,0.0400,0.0120,0.0667,0.1000,0.0350,0.0667,0.0000,0.0180,0.0667,0.0178,0.1176,0.1176,0.0588,0.0412,0.0412,0.0373,0.0373,0.0195,0.0147,0.0000,0.0000,0.0354,15,12,1000,0.0714
10,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0010,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,5,1,1000,0.0010
12,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0090,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,33,6,1000,0.0041
15,0.0000,0.0000,0.0060,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0000,0.0079,0.0079,0.0079,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,17,6,1000,0.0063
19,0.0000,0.0000,0.0030,0.0000,0.0000,0.0050,0.0000,0.0000,0.0040,0.0000,0.0000,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,40,3,1000,0.0065
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21,0,1000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,0,1000,0.0000
30,0.0000,0.0100,0.0150,0.0000,0.0000,0.0250,0.0000,0.0000,0.0220,0.0196,0.0211,0.0272,0.0239,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,51,15,1000,0.0270
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10,0,1000,0.0000
