query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0040,0.0040,0.0040,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,6,2,1000,0.0035
5,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0041,0.0087,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,27,4,1000,0.0049
8,0.0000,0.0200,0.0030,0.0000,0.0000,0.0150,0.0333,0.0000,0.0060,0.0000,0.0133,0.0377,0.0377,0.0252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,15,3,1000,0.0345
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,0,1000,0.0000
12,0.0000,0.0000,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0000,0.0074,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,33,5,1000,0.0051
15,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,17,2,1000,0.0018
19,0.0000,0.0000,0.0030,0.0000,0.0000,0.0050,0.0000,0.0000,0.0040,0.0000,0.0013,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,40,3,1000,0.0063
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21,0,1000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,0,1000,0.0000
30,0.0000,0.0000,0.0060,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0188,0.0079,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,51,6,1000,0.0052
