query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.1000,0.0500,0.0050,0.0667,0.1500,0.0250,0.1333,0.2000,0.0100,0.1667,0.1111,0.3333,0.3333,0.1667,0.1667,0.1667,0.1667,0.1481,0.0909,0.0909,0.0000,0.0000,0.1428,6,5,1000,0.3333
5,0.3000,0.1300,0.0160,0.2667,0.2500,0.0750,0.2000,0.6000,0.0320,0.2222,0.1770,1.0000,0.6000,0.2727,0.1961,0.1897,0.0940,0.0000,0.0000,0.0000,0.0000,0.0000,0.1882,27,16,1000,1.0000
8,0.0000,0.0700,0.0130,0.0000,0.0500,0.0500,0.0667,0.0000,0.0260,0.0000,0.0000,0.1064,0.1064,0.1064,0.1064,0.0897,0.0536,0.0536,0.0536,0.0536,0.0000,0.0000,0.0580,15,13,1000,0.0526
10,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0244,0.0244,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,5,1,1000,0.0244
12,0.0000,0.0300,0.0170,0.0000,0.0000,0.0250,0.0000,0.0000,0.0220,0.0000,0.0000,0.0439,0.0439,0.0331,0.0229,0.0216,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0140,33,17,1000,0.0204
15,0.2000,0.1300,0.0130,0.1333,0.1500,0.0650,0.1333,0.4000,0.0260,0.1765,0.1246,1.0000,0.5000,0.2069,0.2069,0.2069,0.2069,0.2069,0.2069,0.0000,0.0000,0.0000,0.1927,17,13,1000,1.0000
19,0.3000,0.0600,0.0200,0.2000,0.1500,0.0500,0.1333,0.4000,0.0260,0.1000,0.0919,1.0000,0.1333,0.0630,0.0275,0.0223,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0840,40,20,1000,1.0000
21,0.0000,0.0000,0.0080,0.0000,0.0000,0.0250,0.0000,0.0000,0.0120,0.0000,0.0000,0.0279,0.0279,0.0279,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,21,8,1000,0.0057
24,0.0000,0.0200,0.0060,0.0000,0.0500,0.0250,0.0333,0.0000,0.0120,0.0000,0.0000,0.0526,0.0526,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0217,0.0000,0.0000,0.0246,7,6,1000,0.0526
30,0.1000,0.0700,0.0370,0.0667,0.1000,0.0600,0.0667,0.0000,0.0580,0.0784,0.0408,0.1429,0.0814,0.0741,0.0741,0.0741,0.0650,0.0538,0.0507,0.0000,0.0000,0.0000,0.0494,51,37,1000,0.1429
31,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0047,0.0047,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,10,2,1000,0.0032
33,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,1,1,1000,0.0476
36,0.0000,0.0200,0.0080,0.0000,0.0500,0.0100,0.0667,0.0000,0.0120,0.0000,0.0000,0.0769,0.0769,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0000,0.0000,0.0000,0.0191,11,8,1000,0.0556
37,0.1000,0.0100,0.0040,0.0667,0.0500,0.0100,0.0333,0.2000,0.0080,0.1429,0.1429,1.0000,1.0000,0.0114,0.0097,0.0097,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.1471,7,4,1000,1.0000
40,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0046,0.0046,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,5,1,1000,0.0046
41,0.1000,0.0600,0.0100,0.0667,0.1000,0.0400,0.1000,0.0000,0.0200,0.0833,0.0208,0.1053,0.1053,0.1000,0.0909,0.0909,0.0909,0.0640,0.0405,0.0202,0.0000,0.0000,0.0636,12,10,1000,0.1000
45,0.0000,0.0300,0.0040,0.0000,0.0000,0.0200,0.0667,0.0000,0.0080,0.0000,0.0000,0.0741,0.0741,0.0741,0.0741,0.0741,0.0448,0.0448,0.0312,0.0312,0.0000,0.0000,0.0380,5,4,1000,0.0400
47,0.0000,0.0700,0.0070,0.0667,0.1000,0.0350,0.0667,0.0000,0.0140,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1071,0.1014,0.0000,0.0000,0.0000,0.0711,10,7,1000,0.0714
