query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.1000,0.0500,0.0050,0.1333,0.2000,0.0250,0.1333,0.2000,0.0100,0.1667,0.1389,0.5000,0.5000,0.2105,0.2105,0.2105,0.2105,0.2105,0.0847,0.0847,0.0000,0.0000,0.1923,6,5,1000,0.5000
5,0.3000,0.1100,0.0160,0.3333,0.3000,0.0750,0.2333,0.4000,0.0320,0.2593,0.1879,1.0000,0.3846,0.3333,0.1525,0.1486,0.0806,0.0000,0.0000,0.0000,0.0000,0.0000,0.1755,27,16,1000,1.0000
8,0.0000,0.0500,0.0130,0.0667,0.0500,0.0600,0.1667,0.0000,0.0260,0.0667,0.0044,0.1667,0.1667,0.1667,0.1667,0.0619,0.0619,0.0619,0.0619,0.0619,0.0000,0.0000,0.0677,15,13,1000,0.0667
10,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0294,0.0294,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,5,1,1000,0.0294
12,0.0000,0.0300,0.0160,0.0000,0.0000,0.0350,0.0667,0.0000,0.0220,0.0606,0.0220,0.0870,0.0377,0.0355,0.0270,0.0243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,33,16,1000,0.0455
15,0.2000,0.1300,0.0130,0.1333,0.2000,0.0650,0.1333,0.4000,0.0260,0.1765,0.1246,1.0000,0.4000,0.2105,0.1964,0.1964,0.1964,0.1964,0.1875,0.0000,0.0000,0.0000,0.1865,17,13,1000,1.0000
19,0.3000,0.0600,0.0190,0.2000,0.2000,0.0400,0.1333,0.6000,0.0260,0.1000,0.0894,0.7500,0.2000,0.0505,0.0323,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0679,40,19,1000,0.5000
21,0.0000,0.0500,0.0090,0.0000,0.0000,0.0300,0.0000,0.0000,0.0140,0.0000,0.0000,0.1064,0.1064,0.1064,0.0180,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,21,9,1000,0.0233
24,0.0000,0.0200,0.0060,0.0000,0.0500,0.0250,0.0333,0.0000,0.0120,0.0000,0.0000,0.0500,0.0500,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0224,0.0000,0.0000,0.0252,7,6,1000,0.0500
30,0.1000,0.0700,0.0370,0.0667,0.1000,0.0650,0.0667,0.0000,0.0580,0.0784,0.0431,0.1429,0.0833,0.0727,0.0727,0.0727,0.0651,0.0514,0.0511,0.0000,0.0000,0.0000,0.0489,51,37,1000,0.1429
31,0.0000,0.0100,0.0040,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0159,0.0159,0.0147,0.0055,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,10,4,1000,0.0159
33,0.0000,0.0100,0.0010,0.0000,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,1,1,1000,0.0500
36,0.0000,0.0200,0.0080,0.0000,0.0500,0.0100,0.0667,0.0000,0.0120,0.0000,0.0000,0.0769,0.0769,0.0142,0.0142,0.0121,0.0121,0.0121,0.0118,0.0000,0.0000,0.0000,0.0190,11,8,1000,0.0588
