query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.1000,0.0500,0.0050,0.1333,0.1000,0.0250,0.1000,0.2000,0.0100,0.1667,0.1111,0.3333,0.3333,0.1429,0.1429,0.1429,0.1429,0.1026,0.0926,0.0926,0.0000,0.0000,0.1341,6,5,1000,0.3333
5,0.4000,0.1300,0.0160,0.2667,0.3000,0.0750,0.2000,0.4000,0.0320,0.2222,0.1824,1.0000,0.4444,0.3000,0.2045,0.1719,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.1846,27,16,1000,1.0000
8,0.0000,0.0700,0.0130,0.0000,0.0000,0.0450,0.0333,0.0000,0.0240,0.0000,0.0000,0.0976,0.0976,0.0976,0.0946,0.0946,0.0502,0.0502,0.0502,0.0502,0.0000,0.0000,0.0509,15,13,1000,0.0333
10,0.0000,0.0100,0.0010,0.0000,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0500,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,5,1,1000,0.0500
12,0.0000,0.0200,0.0150,0.0000,0.0000,0.0350,0.0000,0.0000,0.0220,0.0000,0.0000,0.0359,0.0359,0.0359,0.0298,0.0169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0115,33,15,1000,0.0135
15,0.2000,0.1300,0.0130,0.1333,0.1000,0.0650,0.1667,0.4000,0.0260,0.1176,0.1142,1.0000,0.6667,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.0000,0.0000,0.0000,0.2135,17,13,1000,1.0000
19,0.2000,0.0800,0.0170,0.2000,0.2000,0.0500,0.1667,0.4000,0.0260,0.1500,0.1219,1.0000,0.2222,0.1311,0.0283,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0844,40,17,1000,1.0000
21,0.0000,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,0.0088,0.0088,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,21,7,1000,0.0018
24,0.0000,0.0200,0.0060,0.0000,0.0000,0.0100,0.0000,0.0000,0.0120,0.0000,0.0000,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0000,0.0000,0.0171,7,6,1000,0.0185
30,0.1000,0.0700,0.0360,0.0667,0.1000,0.0550,0.1000,0.0000,0.0560,0.0784,0.0546,0.1667,0.0870,0.0697,0.0697,0.0691,0.0578,0.0535,0.0444,0.0000,0.0000,0.0000,0.0490,51,36,1000,0.1667
31,0.0000,0.0100,0.0040,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0152,0.0152,0.0130,0.0049,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,10,4,1000,0.0152
33,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,1,1,1000,0.0417
36,0.0000,0.0200,0.0070,0.0000,0.0000,0.0100,0.0333,0.0000,0.0140,0.0000,0.0000,0.0500,0.0500,0.0142,0.0142,0.0142,0.0142,0.0142,0.0000,0.0000,0.0000,0.0000,0.0137,11,7,1000,0.0370
37,0.1000,0.0100,0.0040,0.0667,0.0500,0.0050,0.0333,0.2000,0.0040,0.1429,0.1429,1.0000,1.0000,0.0062,0.0044,0.0044,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.1449,7,4,1000,1.0000
40,0.0000,0.0000,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0057,0.0057,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,5,1,1000,0.0057
41,0.0000,0.0500,0.0100,0.0000,0.0500,0.0400,0.0333,0.0000,0.0200,0.0000,0.0000,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0503,0.0283,0.0239,0.0000,0.0000,0.0389,12,10,1000,0.0556
45,0.0000,0.0300,0.0040,0.0000,0.0500,0.0200,0.0333,0.0000,0.0080,0.0000,0.0000,0.0556,0.0556,0.0556,0.0556,0.0556,0.0455,0.0455,0.0323,0.0323,0.0000,0.0000,0.0372,5,4,1000,0.0526
47,0.0000,0.0500,0.0070,0.0000,0.0000,0.0300,0.0000,0.0000,0.0140,0.0000,0.0000,0.0610,0.0610,0.0610,0.0610,0.0610,0.0610,0.0469,0.0178,0.0000,0.0000,0.0000,0.0281,10,7,1000,0.0222
