query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
1,0.1000,0.0500,0.0050,0.2000,0.2000,0.0250,0.1333,0.2000,0.0100,0.1667,0.1389,0.5000,0.5000,0.2105,0.2105,0.2105,0.2105,0.2105,0.0820,0.0820,0.0000,0.0000,0.1892,6,5,1000,0.5000
5,0.4000,0.1300,0.0160,0.3333,0.3500,0.0700,0.2333,0.6000,0.0300,0.2593,0.2058,1.0000,0.6000,0.3750,0.1667,0.1412,0.0757,0.0000,0.0000,0.0000,0.0000,0.0000,0.1830,27,16,1000,1.0000
8,0.0000,0.0500,0.0130,0.0000,0.0500,0.0600,0.1667,0.0000,0.0260,0.0000,0.0000,0.1724,0.1724,0.1724,0.1724,0.0645,0.0645,0.0645,0.0645,0.0645,0.0000,0.0000,0.0655,15,13,1000,0.0500
10,0.0000,0.0100,0.0010,0.0000,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0556,0.0556,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,5,1,1000,0.0556
12,0.0000,0.0400,0.0160,0.0000,0.0000,0.0300,0.0000,0.0000,0.0260,0.0000,0.0000,0.0430,0.0430,0.0319,0.0297,0.0193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0138,33,16,1000,0.0182
15,0.2000,0.1300,0.0130,0.1333,0.1500,0.0650,0.1000,0.4000,0.0260,0.1176,0.1176,1.0000,0.5000,0.2075,0.2075,0.2075,0.2075,0.2075,0.1875,0.0000,0.0000,0.0000,0.1919,17,13,1000,1.0000
19,0.2000,0.0700,0.0170,0.1333,0.1500,0.0450,0.1333,0.4000,0.0260,0.1000,0.0762,1.0000,0.1538,0.0696,0.0422,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0728,40,17,1000,1.0000
21,0.0000,0.0500,0.0090,0.0000,0.0000,0.0300,0.0000,0.0000,0.0160,0.0000,0.0000,0.1163,0.1163,0.1163,0.0189,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,21,9,1000,0.0256
24,0.0000,0.0200,0.0060,0.0667,0.0500,0.0250,0.0333,0.0000,0.0120,0.0000,0.0000,0.0667,0.0667,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299,0.0235,0.0000,0.0000,0.0277,7,6,1000,0.0667
30,0.0000,0.0600,0.0360,0.1333,0.1000,0.0600,0.1000,0.0000,0.0540,0.0588,0.0423,0.1429,0.0857,0.0692,0.0692,0.0681,0.0611,0.0505,0.0411,0.0000,0.0000,0.0000,0.0452,51,36,1000,0.0769
31,0.0000,0.0100,0.0040,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0213,0.0213,0.0144,0.0055,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045,10,4,1000,0.0213
33,0.0000,0.0100,0.0010,0.0000,0.0500,0.0050,0.0333,0.0000,0.0020,0.0000,0.0000,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,1,1,1000,0.0526
36,0.0000,0.0200,0.0070,0.0667,0.0500,0.0100,0.0667,0.0000,0.0100,0.0000,0.0000,0.0909,0.0909,0.0152,0.0152,0.0152,0.0110,0.0092,0.0000,0.0000,0.0000,0.0000,0.0204,11,7,1000,0.0714
37,0.1000,0.0100,0.0040,0.0667,0.0500,0.0150,0.0333,0.2000,0.0080,0.1429,0.1429,1.0000,1.0000,0.0162,0.0162,0.0162,0.0131,0.0000,0.0000,0.0000,0.0000,0.0000,0.1493,7,4,1000,1.0000
40,0.0000,0.0100,0.0010,0.0000,0.0000,0.0050,0.0000,0.0000,0.0020,0.0000,0.0000,0.0147,0.0147,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029,5,1,1000,0.0147
